,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
18,hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.281958,11956169353,19,14101694181,563495747.0,0.294597,0.282062,-0.002103144669759083,-0.74039,-62758735.001363754,-0.52217,42392669987.56715,50000000000.0,50000000000.0,0.569229,-50.28971,2021-09-15T10:40:28.318Z,0.00986111,2769.50809,2020-01-02T17:30:24.852Z,,2025-07-28T12:55:59.228Z
19,bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,587.56,11683844511,20,11683895876,773752946.0,604.99,577.64,-12.899682341033667,-2.1483,-261161827.63725471,-2.18637,19903499.89665078,19903587.39665078,21000000.0,3785.82,-84.54799,2017-12-20T00:00:00.000Z,76.93,660.36498,2018-12-16T00:00:00.000Z,,2025-07-28T12:55:57.267Z
20,avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,27.21,11491231909,21,12443745372,1063274216.0,27.27,24.92,2.22,8.86534,910411361.0,8.60435,422276596.0335201,457279296.0335201,720000000.0,144.96,-81.21665,2021-11-21T14:18:56.538Z,2.8,872.07959,2020-12-31T13:15:21.540Z,,2025-07-28T12:55:56.723Z
21,wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,4154.85,10876400298,22,10876400298,32295622.0,4219.55,4076.88,54.04,1.31772,147035505.0,1.3704,2618829.080185513,2618829.080185513,,4311.81,-3.43083,2024-12-06T20:32:25.758Z,1505.24,176.62652,2025-04-09T03:45:31.391Z,,2025-07-28T12:55:55.653Z
22,weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,3876.87,8857260377,23,8857260377,71948926.0,3936.77,3806.99,51.38,1.34299,75281014.0,0.85722,2284562.823773765,2284562.823773765,,4799.89,-19.03277,2021-11-09T00:00:00.000Z,82.1,4633.47009,2018-12-15T00:00:00.000Z,,2025-07-28T12:55:56.161Z
23,litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,113.45,8632740254,24,8632772149,679927701.0,116.24,112.92,-0.07670491235755605,-0.06757,18612764.0,0.21607,76123483.23347135,76123764.48347135,84000000.0,410.26,-72.34487,2021-05-10T03:13:07.904Z,1.15,9775.84454,2015-01-14T00:00:00.000Z,,2025-07-28T12:55:59.895Z
24,the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.39,8361114444,25,17381217859,171779948.0,3.44,3.33,0.04074854,1.21806,138859373.0,1.68882,2470827392.386005,5136395332.092837,,8.25,-58.91105,2024-06-15T00:36:51.509Z,0.519364,552.97589,2021-09-21T00:33:11.092Z,,2025-07-28T12:55:54.948Z
25,shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.413e-05,8326492950,26,8330093129,192895468.0,1.435e-05,1.393e-05,1.01614e-07,0.7243,61564580.0,0.74489,589246848347752.5,589501624778555.1,,8.616e-05,-83.54112,2021-10-28T03:54:55.568Z,5.6366e-11,25158104.48593,2020-11-28T11:26:25.838Z,,2025-07-28T12:55:54.578Z
26,leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,8.96,8271916317,27,8829303377,2901533.0,8.99,8.94,-0.012394137329552635,-0.13811,-11309635.27468872,-0.13654,923042099.9,985239504.0,,10.14,-11.58196,2025-03-10T09:26:43.294Z,0.799859,1020.35538,2019-12-24T15:14:35.376Z,,2025-07-28T12:55:59.503Z
27,usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999626,7588486345,28,7576329436,4789052.0,0.999965,0.999338,-0.000232395915734318,-0.02324,-79777815.38428974,-1.04036,7591665717.464318,7579503715.352147,,1.057,-5.45863,2024-10-29T05:40:51.197Z,0.948265,5.41428,2024-10-03T13:19:28.826Z,,2025-07-28T12:55:55.065Z
28,ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.001,7562638030,29,7562913346,272780734.0,1.002,1.0,-0.000756215544612582,-0.07551,96855292.0,1.29732,7557557737.840485,7557832869.016405,,1.032,-3.03128,2023-12-20T15:38:34.596Z,0.929486,7.67207,2024-10-04T07:57:15.809Z,,2025-07-28T12:55:58.590Z
29,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,1.0,6785086886,30,6785086886,2728466618.0,1.005,0.995447,1.88e-05,0.00188,-2530260.789205551,-0.03728,6784993699.453935,6784993699.453935,,1.05,-4.75236,2024-08-05T14:21:42.527Z,0.942186,6.14287,2024-12-05T22:30:39.827Z,,2025-07-28T12:55:57.607Z
30,uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,10.93,6563153386,31,10929789154,438661878.0,11.16,10.63,0.179692,1.67159,123921250.0,1.92447,600483073.71,1000000000.0,1000000000.0,44.92,-75.59747,2021-05-03T05:25:04.822Z,1.03,964.01229,2020-09-17T01:20:38.214Z,,2025-07-28T12:55:56.416Z
31,whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,44.68,6439953518,32,14446996692,33466970.0,45.04,44.14,0.378331,0.85402,58981438.0,0.92433,144118517.10815412,323306641.0,400000000.0,52.27,-14.46349,2025-06-16T09:30:18.527Z,3.06,1360.25666,2023-02-13T19:01:21.899Z,,2025-07-28T12:55:55.145Z
32,polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.22,6417954916,33,6417954916,274635657.0,4.3,4.15,0.04921457,1.18109,84668519.0,1.33688,1522267060.0,1522267060.0,,54.98,-92.306,2021-11-04T14:10:09.301Z,2.7,56.82296,2020-08-20T05:48:11.359Z,,2025-07-28T12:55:53.449Z
33,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,118994.0,6343596475,34,6343596475,359753115.0,119856.0,118025.0,968.4,0.8205,133387064.0,2.14787,53307.20040135,53307.20040135,,123036.0,-3.33244,2025-07-14T07:45:54.294Z,57439.0,107.06535,2024-09-12T14:07:41.775Z,,2025-07-28T12:55:57.699Z
34,monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,325.59,6004624566,35,6004624566,130735251.0,331.07,321.38,0.592711,0.18237,6273863.0,0.10459,18446744.07370955,18446744.07370955,,542.33,-39.99456,2018-01-09T00:00:00.000Z,0.216177,150436.52475,2015-01-14T00:00:00.000Z,,2025-07-28T12:55:52.479Z
35,pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,1.296e-05,5452783185,36,5452783185,1751995533.0,1.31e-05,1.258e-05,2.75799e-07,2.17464,119221056.0,2.2353,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-53.70998,2024-12-09T16:30:35.828Z,5.5142e-08,23428.63486,2023-04-18T02:14:41.591Z,,2025-07-28T12:55:53.229Z
36,bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.7,5353343205,37,5353343205,248458529.0,4.74,4.58,0.092743,2.01347,102402215.0,1.95017,1139992036.1,1139992036.1,2000000000.0,8.45,-44.34541,2024-12-27T11:41:24.992Z,0.0142795,32835.27225,2020-06-25T04:17:05.895Z,,2025-07-28T12:55:56.596Z
37,crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.145282,4704677095,38,14237045467,48323489.0,0.148477,0.137874,0.00674512,4.86882,224372933.0,5.00798,32343798320.28378,97877095055.74594,100000000000.0,0.965407,-84.86101,2021-11-24T15:53:54.855Z,0.0121196,1105.92202,2019-02-08T00:00:00.000Z,,2025-07-28T12:55:57.889Z
38,aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,303.45,4612861564,39,4855276968,434247151.0,308.66,295.27,6.86,2.31311,106033256.0,2.35272,15201148.258758118,16000000.0,16000000.0,661.69,-54.09298,2021-05-18T21:19:59.514Z,26.02,1067.2768,2020-11-05T09:20:11.928Z,,2025-07-28T12:55:56.161Z
39,ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.18,4337469254,40,4337586105,60789928.0,1.19,1.18,-0.000976284080584033,-0.08232,-1899375.3187379837,-0.04377,3660582218.68621,3660680834.782581,,1.29,-8.20019,2025-01-29T17:52:32.991Z,1.012,17.06968,2024-04-03T14:23:03.162Z,,2025-07-28T12:55:58.465Z
40,ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.680197,4325527711,41,10210244905,1812026263.0,0.69511,0.61869,0.058412,9.39427,367280104.0,9.27886,6354687500.0,15000000000.0,,1.52,-55.19217,2024-04-11T13:15:15.057Z,0.195078,248.6038,2024-09-06T21:04:48.253Z,,2025-07-28T12:55:58.124Z
41,bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,431.05,4102860261,42,9057747457,121200596.0,437.69,425.3,0.164385,0.03815,19242697.0,0.47122,9512306.0,21000000.0,21000000.0,757.6,-42.92287,2024-03-07T18:45:36.466Z,30.83,1302.59342,2023-05-14T08:57:53.732Z,,2025-07-28T12:55:56.941Z
42,dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999777,3777068369,43,3777068369,92522865.0,1.0,0.999594,5.306e-05,0.00531,4551815.0,0.12066,3777840956.408719,3777840956.408719,,1.22,-17.9764,2020-03-13T03:02:50.373Z,0.88196,13.36239,2023-03-11T07:50:50.514Z,,2025-07-28T12:55:57.873Z
43,near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.95,3652402930,44,3721076878,258772468.0,3.01,2.89,0.0367498,1.26282,53575074.0,1.48868,1239413349.0,1262717297.0,,20.44,-85.53453,2022-01-16T22:09:45.873Z,0.526762,461.25299,2020-11-04T16:09:15.137Z,,2025-07-28T12:55:52.501Z
44,ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,22.87,3502238049,45,3502501651,338706604.0,23.68,22.75,-0.043996876778777505,-0.192,3103879.0,0.0887,152876673.3529662,152888179.9132257,210700000.0,167.09,-86.27822,2021-05-06T18:34:22.133Z,0.615038,3627.75213,2016-07-25T00:00:00.000Z,"{'times': 49.82472205498129, 'currency': 'usd', 'percentage': 4982.4722054981285}",2025-07-28T12:55:58.352Z
45,pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.447281,3460576335,46,5323963592,104304950.0,0.469669,0.441536,0.00449235,1.01456,33005594.0,0.96294,7741419861.722682,11909876710.34258,100000000000.0,2.99,-85.02436,2025-02-26T16:41:03.732Z,0.406999,9.92999,2025-04-05T04:50:37.033Z,,2025-07-28T12:55:53.326Z
46,ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,1.051,3323948292,47,10521795353,220455836.0,1.081,1.039,0.00608777,0.58235,27123414.0,0.82271,3159107529.0,10000000000.0,10000000000.0,2.14,-50.70874,2024-12-16T00:36:00.777Z,0.082171,1183.79866,2024-01-18T12:14:30.524Z,,2025-07-28T12:55:53.114Z
47,internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.85,3139680339,48,3139680392,81630009.0,5.99,5.68,0.149604,2.62294,97093428.0,3.19115,536144434.569223,536144443.6167733,,700.65,-99.16138,2021-05-10T16:05:53.653Z,2.87,105.08647,2023-09-22T00:29:57.369Z,,2025-07-28T12:55:59.373Z
48,aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,4.91,3124581439,49,5564480828,196224229.0,4.97,4.8,0.078603,1.62624,67827059.0,2.21892,636201007.0834403,1132992810.885241,,19.92,-75.31384,2023-01-26T14:25:17.390Z,3.08,59.67232,2022-12-29T21:35:14.796Z,,2025-07-28T12:55:58.235Z
49,jito-staked-sol,jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,235.31,3082195838,50,3082225500,34806839.0,237.78,225.92,8.26,3.63663,114945244.0,3.8738,13067738.29357674,13067864.05129014,,339.52,-30.70258,2025-01-19T11:21:54.080Z,0.57898,40536.81145,2023-09-12T10:21:17.665Z,,2025-07-28T12:55:59.281Z
50,okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,49.23,2953744906,51,11615980181,29874078.0,49.99,48.1,1.009,2.09177,63237199.0,2.18775,60000000.0,235957685.3,300000000.0,73.8,-33.30818,2024-03-14T00:30:12.502Z,0.580608,8377.45688,2019-01-14T00:00:00.000Z,,2025-07-28T12:55:52.586Z
51,bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,3.641e-05,2802826159,52,3196564589,1102750594.0,3.629e-05,3.282e-05,2.28e-06,6.66734,160655827.0,6.08045,77419592329436.58,88295425146879.3,88295425146879.3,5.825e-05,-37.5979,2024-11-20T04:01:06.465Z,8.6142e-08,42096.76086,2022-12-29T22:48:46.755Z,,2025-07-28T12:55:56.983Z
52,mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.818849,2754640134,53,5090025623,192582359.0,0.835599,0.817488,-0.006205647530953429,-0.75215,-23422272.775907516,-0.84312,3365794382.836841,6219316794.99,6219316794.99,1.54,-46.53872,2024-04-08T09:45:25.482Z,0.307978,167.10251,2023-10-18T02:50:46.942Z,,2025-07-28T12:55:59.705Z
53,kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.103368,2727573793,54,2742207353,83251975.0,0.106983,0.10338,-0.002886990439537052,-2.71703,-73816242.7201829,-2.63499,26363807936.34678,26505250996.46513,28704026601.0,0.207411,-50.03026,2024-08-01T00:40:47.164Z,0.00017105,60492.22671,2022-05-26T14:42:59.316Z,,2025-07-28T12:55:59.441Z
54,pudgy-penguins,pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0.04233777,2661147129,55,3332063639,1211239109.0,0.04536637,0.04183495,5.979e-05,0.14143,4837384.0,0.18211,62860396090.0,78708477960.31435,88888888888.0,0.068447,-38.15706,2024-12-17T13:05:22.873Z,0.00371517,1039.36825,2025-04-09T01:31:57.832Z,,2025-07-28T12:55:53.468Z
55,algorand,algo,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.278876,2421321662,56,2421372747,112249028.0,0.287488,0.277822,-0.00048792545474563,-0.17466,-5552449.388991833,-0.22879,8686533072.085352,8686716341.401245,10000000000.0,3.56,-92.14143,2019-06-20T14:51:19.480Z,0.087513,219.78596,2023-09-11T19:42:08.247Z,"{'times': -0.8838015146183926, 'currency': 'usd', 'percentage': -88.38015146183926}",2025-07-28T12:55:56.216Z
56,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2413242321,57,2413242321,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2413242320.503854,2413242320.503854,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-07-28T12:55:13.411Z
57,arbitrum,arb,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.467939,2411626344,58,4682551720,406293291.0,0.477379,0.449771,0.01719988,3.81593,93785167.0,4.04623,5150239630.0,10000000000.0,10000000000.0,2.39,-80.32336,2024-01-12T12:29:59.231Z,0.245747,91.38685,2025-04-07T07:01:34.124Z,,2025-07-28T12:55:56.670Z
58,binance-peg-weth,weth,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,3885.32,2348286165,59,2348286165,100766452.0,3938.18,3801.78,64.39,1.6851,35492594.0,1.53462,604999.999959841,604999.999959841,,4098.26,-5.18893,2024-12-06T20:27:27.286Z,1394.32,178.67411,2025-04-09T01:32:41.942Z,,2025-07-28T12:55:56.811Z
59,render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,4.37,2261831497,60,2326265335,81278200.0,4.43,4.25,0.072438,1.68735,41109492.0,1.85118,518128769.0562826,532888942.3362826,644245094.0,13.53,-67.6796,2024-03-17T16:30:24.636Z,0.03665669,11833.61077,2020-06-16T13:22:25.900Z,,2025-07-28T12:55:56.738Z
60,cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.9,2258039158,61,2258039158,99346456.0,4.93,4.77,0.097728,2.03293,43153638.0,1.94835,460890742.843485,460890742.843485,,44.45,-89.02998,2022-01-17T00:34:41.497Z,1.16,320.3199,2020-03-13T02:27:44.591Z,"{'times': 48.0495233780397, 'currency': 'usd', 'percentage': 4804.95233780397}",2025-07-28T12:55:57.838Z
61,vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.02612217,2247941782,62,2247941782,38535714.0,0.02665405,0.02563779,0.00025968,1.00409,29511221.0,1.33027,85985041177.0,85985041177.0,86712634466.0,0.280991,-90.67307,2021-04-19T01:08:21.675Z,0.00191713,1267.03299,2020-03-13T02:29:59.652Z,"{'times': 1.3558206806121933, 'currency': 'eth', 'percentage': 135.58206806121933}",2025-07-28T12:55:55.158Z
62,usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,1.001,2208967513,63,2208967513,435412853.0,1.003,0.99936,-0.000371026831335941,-0.03704,-857876.7034263611,-0.03882,2206622939.071,2206622939.071,,1.025,-2.30617,2025-05-12T12:36:39.412Z,0.989703,1.16082,2025-04-16T00:36:15.580Z,,2025-07-28T12:55:55.576Z
63,worldcoin-wld,wld,Worldcoin,https://coin-images.coingecko.com/coins/images/31069/large/worldcoin.jpeg?1696529903,1.21,2188737044,64,12170733088,274922478.0,1.23,1.17,0.03836483,3.26254,78214411.0,3.70593,1798360894.029286,10000000000.0,10000000000.0,11.74,-89.61216,2024-03-10T00:10:42.330Z,0.583741,108.92767,2025-04-07T07:06:11.379Z,,2025-07-28T12:55:55.445Z
64,gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,18.28,2183967166,65,5485292521,11381842.0,18.47,17.73,0.444579,2.49264,55098861.0,2.58818,119444887.81900902,300000000.0,,25.94,-29.77651,2025-01-25T03:07:37.823Z,0.25754,6972.90226,2020-03-13T02:18:02.481Z,,2025-07-28T12:55:58.429Z
65,polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.239888,2165360964,66,2512797571,89394512.0,0.244456,0.23682,0.0008408,0.35173,13376086.0,0.62157,9025873552.162342,10474093471.36837,,1.29,-81.31648,2024-03-13T18:55:06.692Z,0.153392,56.82812,2025-04-07T07:06:08.017Z,,2025-07-28T12:55:53.521Z
66,spx6900,spx,SPX6900,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,2.25,2096956868,67,2096956868,134136913.0,2.27,2.03,0.227409,11.21623,214929511.0,11.42011,930993086.0063922,930993086.0063922,1000000000.0,2.27,-0.77758,2025-07-28T11:24:33.852Z,0.00131808,170830.4674,2024-02-04T19:12:19.110Z,,2025-07-28T12:55:54.589Z
67,official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,10.29,2059710667,68,10298554722,371875720.0,10.49,10.14,0.125355,1.2328,28210229.0,1.38864,199999973.092266,1000000000.0,1000000000.0,73.43,-85.97309,2025-01-19T11:50:34.806Z,4.29,140.05666,2025-01-18T03:40:29.231Z,,2025-07-28T12:55:52.935Z
